SD_ID,BRANCH,F_ID,F_NAME,GPA,ENTRY-GPA,STATUS,ADMITACADYEAR,ACADYEAR,SEMESTER,STUDENTSTATUS.STUDENTSTATUS,S_NAME,S_TYPE,PID,P_NAME,R_NAME,OUTLAY,ENTRYNAME,CHOICENAME,,,,
65231,DCA,22,INFO,2.23,2.73,40,2559,2562,2,40,ศึกษาสงเคราะห์สุราษฎร์ธานี,โรงเรียนทั่วไป,84,สุราษฎร์ธานี,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"12,500-25,000 บาทต่อเดือน",,,,
65232,MTA,22,INFO,2.3,2.36,40,2559,2562,3,40,สตรีพัทลุง,โรงเรียนมีชื่อเสียง,93,พัทลุง,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"น้อยกว่า 12,500 บาทต่อเดือน",,,,
65250,DCM,22,INFO,2.41,2.06,40,2559,2562,3,40,เบญจมราชูทิศ นครศรีธรรมราช,โรงเรียนมีชื่อเสียง,80,นครศรีธรรมราช,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"มากกว่า 25,000 บาทต่อเดือน",,,,
65260,MTA,22,INFO,2.38,2.76,40,2559,2562,3,40,ธิดาแม่พระ,โรงเรียนมีชื่อเสียง,84,สุราษฎร์ธานี,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"น้อยกว่า 12,500 บาทต่อเดือน",,,,
65269,MTA,22,INFO,2.15,2.18,40,2559,2562,3,40,โรงเรียนผู้ใหญ่วรนารีเฉลิม,โรงเรียนทั่วไป,90,สงขลา,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,ไม่มีรายได้,,,,
65272,DCA,22,INFO,2.24,2.37,40,2559,2562,2,40,สิชลคุณาธารวิทยา,โรงเรียนทั่วไป,80,นครศรีธรรมราช,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"12,500-25,000 บาทต่อเดือน",,,,
65312,DCM,22,INFO,2.78,2.58,40,2559,2562,3,40,ดอนสักผดุงวิทย์,โรงเรียนทั่วไป,93,พัทลุง,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"น้อยกว่า 12,500 บาทต่อเดือน",,,,
65318,DCA,22,INFO,3.22,3.3,40,2559,2562,2,40,อบจ.เมืองภูเก็ต,โรงเรียนทั่วไป,83,ภูเก็ต,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"น้อยกว่า 12,500 บาทต่อเดือน",,,,
65330,IT,22,INFO,2.21,2.61,40,2559,2562,3,40,ปากพูน,โรงเรียนทั่วไป,84,สุราษฎร์ธานี,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"น้อยกว่า 12,500 บาทต่อเดือน",,,,
65375,IT,22,INFO,2.64,2.54,40,2559,2562,3,40,สอาดเผดิมวิทยา,โรงเรียนมีชื่อเสียง,83,ภูเก็ต,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"12,500-25,000 บาทต่อเดือน",,,,
65381,DCM,22,INFO,2.98,3.24,40,2559,2562,3,40,ดีบุกพังงาวิทยายน,โรงเรียนมีชื่อเสียง,82,พังงา,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"12,500-25,000 บาทต่อเดือน",,,,
65403,DCA,22,INFO,2.72,2.36,40,2559,2562,2,40,สุราษฎร์ธานี 2,โรงเรียนมีชื่อเสียง,84,สุราษฎร์ธานี,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"12,500-25,000 บาทต่อเดือน",,,,
65426,IT,22,INFO,2.37,2.47,40,2559,2562,3,40,นวมินทราชูทิศ ทักษิณ,,90,สงขลา,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"น้อยกว่า 12,500 บาทต่อเดือน",,,,
65440,MTA,22,INFO,2.6,2.44,40,2559,2562,2,40,เมืองสุราษฎร์ธานี,โรงเรียนทั่วไป,84,สุราษฎร์ธานี,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"น้อยกว่า 12,500 บาทต่อเดือน",,,,
65445,DCA,22,INFO,2.47,3.15,40,2559,2562,2,40,"เบตง""วีระราษฎร์ประสาน""",โรงเรียนมีชื่อเสียง,95,ยะลา,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"น้อยกว่า 12,500 บาทต่อเดือน",,,,
