S_ID,BRANCH,F_ID,F_NAME,GPA,E-GPA,ADMITACADYEAR,ACADYEAR,SEMESTER,RANK,S_NAME,P_NAME,R_NAME,FEE_NAME,ENTRYNAME,S_PARENT
65231,DCA,22,สารสนเทศศาสตร์,2.23,2.73,2559,2562,2,1,ศึกษาสงเคราะห์สุราษฎร์ธานี,สุราษฎร์ธานี,S,BDA,3,2
65232,MTA,22,สารสนเทศศาสตร์,2.3,2.36,2559,2562,3,0,สตรีพัทลุง,พัทลุง,S,BDA,3,1
65250,DCM,22,สารสนเทศศาสตร์,2.31,2.06,2559,2562,3,0,เบญจมราชูทิศ นครศรีธรรมราช,นครศรีธรรมราช,S,BDA,3,3
65260,MTA,22,สารสนเทศศาสตร์,2.38,2.76,2559,2562,3,0,ธิดาแม่พระ,สุราษฎร์ธานี,S,BDA,3,1
65269,MTA,22,สารสนเทศศาสตร์,2.15,2.18,2559,2562,3,1,โรงเรียนผู้ใหญ่วรนารีเฉลิม,สงขลา,S,BDA,3,0
65272,DCA,22,สารสนเทศศาสตร์,2.24,2.37,2559,2562,2,1,สิชลคุณาธารวิทยา,นครศรีธรรมราช,S,BDA,3,2
65312,DCM,22,สารสนเทศศาสตร์,2.78,2.58,2559,2562,3,1,ดอนสักผดุงวิทย์,สุราษฎร์ธานี,S,BDA,3,1
65318,DCA,22,สารสนเทศศาสตร์,3.22,3.3,2559,2562,2,1,อบจ.เมืองภูเก็ต,ภูเก็ต,S,BDA,3,1
65330,ITD,22,สารสนเทศศาสตร์,2.21,2.61,2559,2562,3,1,ปากพูน,นครศรีธรรมราช,S,BDA,3,1
65375,ITD,22,สารสนเทศศาสตร์,2.64,2.54,2559,2562,3,2,สอาดเผดิมวิทยา,ชุมพร,S,BDA,3,2
65382,DCM,22,สารสนเทศศาสตร์,2.98,3.24,2559,2562,3,2,ดีบุกพังงาวิทยายน,พังงา,S,BDA,3,2
65423,DCA,22,สารสนเทศศาสตร์,2.72,2.36,2559,2562,2,2,สุราษฎร์ธานี 2,สุราษฎร์ธานี,S,BDA,3,2
65426,ITD,22,สารสนเทศศาสตร์,2.37,2.47,2559,2562,3,0,นวมินทราชูทิศ ทักษิณ,สงขลา,S,BDA,3,1
65440,MTA,22,สารสนเทศศาสตร์,2.6,2.44,2559,2562,2,1,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,S,BDA,3,1
65445,DCA,22,สารสนเทศศาสตร์,2.47,3.15,2559,2562,2,0,"เบตง""วีระราษฎร์ประสาน""",ยะลา,S,BDA,3,1
65452,DCA,22,สารสนเทศศาสตร์,2.59,2.5,2559,2562,2,2,กัลยาณีศรีธรรมราช,นครศรีธรรมราช,S,BDA,3,2
65456,ITD,22,สารสนเทศศาสตร์,3.3,2.92,2559,2562,3,1,สิชลคุณาธารวิทยา,นครศรีธรรมราช,S,BDA,3,0
65474,MTA,22,สารสนเทศศาสตร์,3.22,2.98,2559,2563,1,1,บางแก้วพิทยาคม,พัทลุง,S,BDA,3,3
65487,MTA,22,สารสนเทศศาสตร์,3.58,3.39,2559,2562,2,1,สุราษฎร์พิทยา,สุราษฎร์ธานี,S,BDA,3,2
65492,DCM,22,สารสนเทศศาสตร์,3.19,2.4,2559,2562,3,1,สุไหงโก-ลก,นราธิวาส,S,BDA,3,2
65513,DCA,22,สารสนเทศศาสตร์,3.1,2.46,2559,2562,3,1,ศรีธรรมราชศึกษา,นครศรีธรรมราช,S,BDA,3,3
65525,ITD,22,สารสนเทศศาสตร์,3.47,2.36,2559,2562,3,1,ชะอวด,นครศรีธรรมราช,S,BDA,3,1
65526,MTA,22,สารสนเทศศาสตร์,2.25,2.27,2559,2564,2,2,สตรีทุ่งสง,นครศรีธรรมราช,S,BDA,3,2
65535,DCM,22,สารสนเทศศาสตร์,3.29,3.14,2559,2562,3,1,ศรีธรรมราชศึกษา,นครศรีธรรมราช,S,BDA,3,1
65593,DCA,22,สารสนเทศศาสตร์,2.16,2.55,2559,2563,2,1,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,S,BDA,3,1
65611,DCA,22,สารสนเทศศาสตร์,2.63,2.38,2559,2562,2,1,สุไหงโก-ลก,นราธิวาส,S,BDA,3,3
65613,DCA,22,สารสนเทศศาสตร์,2.06,1.98,2559,2563,2,0,กัลยาณีศรีธรรมราช,นครศรีธรรมราช,S,BDA,3,3
65618,ITD,22,สารสนเทศศาสตร์,2.1,2.52,2559,2562,3,1,ทีปราษฎร์พิทยา,สุราษฎร์ธานี,S,BDA,3,3
65619,DCA,22,สารสนเทศศาสตร์,2.61,2.29,2559,2562,2,1,ปากพนัง,นครศรีธรรมราช,S,BDA,3,2
65628,MTA,22,สารสนเทศศาสตร์,2.92,2.74,2559,2562,3,1,สุราษฎร์พิทยา,สุราษฎร์ธานี,S,BDA,3,2
65630,DCA,22,สารสนเทศศาสตร์,3.2,2.82,2559,2562,3,1,เทพมิตรศึกษา,สุราษฎร์ธานี,S,BDA,3,2
65632,MTA,22,สารสนเทศศาสตร์,3.26,3.55,2559,2562,3,2,วิเชียรมาตุ,ตรัง,S,BDA,3,2
65632,MTA,22,สารสนเทศศาสตร์,2.92,2.82,2559,2562,3,2,วิเชียรมาตุ,ตรัง,S,BDA,3,2
65645,ITD,22,สารสนเทศศาสตร์,2.85,2.27,2559,2562,3,2,สตรีทุ่งสง,นครศรีธรรมราช,S,BDA,3,2
