S_ID,BRANCH,GPA,RANK,S_ID,S_NAME,P_ID,P_NAME,R_NAME,FEE_NAME,S_PARENT
65231,0,2.23,1,84041,ศึกษาสงเคราะห์สุราษฎร์ธานี,84,สุราษฎร์ธานี,5,0,2
65232,2,2.3,0,93029,สตรีพัทลุง,93,พัทลุง,5,0,1
65250,1,2.31,0,1080210774,เบญจมราชูทิศ นครศรีธรรมราช,80,นครศรีธรรมราช,5,0,3
65260,2,2.38,0,99840040,ธิดาแม่พระ,84,สุราษฎร์ธานี,5,0,1
65269,2,2.15,1,90104,โรงเรียนผู้ใหญ่วรนารีเฉลิม,90,สงขลา,5,0,0
65272,0,2.24,1,80086,สิชลคุณาธารวิทยา,80,นครศรีธรรมราช,5,0,2
65312,1,2.78,1,84012,ดอนสักผดุงวิทย์,84,สุราษฎร์ธานี,5,0,1
65318,0,3.22,1,83100101,อบจ.เมืองภูเก็ต,83,ภูเก็ต,5,0,1
65330,3,2.21,1,80054,ปากพูน,80,นครศรีธรรมราช,5,0,1
65375,3,2.64,0,86015,สอาดเผดิมวิทยา,86,ชุมพร,5,0,2
65382,1,2.98,2,82004,ดีบุกพังงาวิทยายน,82,พังงา,5,0,2
65423,0,2.72,0,84046,สุราษฎร์ธานี 2,84,สุราษฎร์ธานี,5,0,2
65426,3,2.37,0,90019,นวมินทราชูทิศ ทักษิณ,90,สงขลา,5,0,1
65440,2,2.6,1,84038,เมืองสุราษฎร์ธานี,84,สุราษฎร์ธานี,5,0,1
65445,0,2.47,0,95007,"เบตง""วีระราษฎร์ประสาน""",95,ยะลา,5,0,1
65452,0,2.59,0,80002,กัลยาณีศรีธรรมราช,80,นครศรีธรรมราช,5,0,2
65456,3,3.3,1,80086,สิชลคุณาธารวิทยา,80,นครศรีธรรมราช,5,0,0
65487,2,3.58,1,84047,สุราษฎร์พิทยา,84,สุราษฎร์ธานี,5,0,2
65492,1,3.19,1,96023,สุไหงโก-ลก,96,นราธิวาส,5,0,2
