S_ID,BRANCH,GPA_2,RANK,S_ID ,S_NAME,P_ID,P_NAME,R_NAME,FEE_NAME,S_PARENT,gpamat,gpasci,GPA,GPA_MATCH,GPA_SCI
65231,0,2.23,1,84041,ศึกษาสงเคราะห์สุราษฎร์ธานี,84,สุราษฎร์ธานี,S,0,2,2,2,2.2,2,2
65232,2,2.3,0,93029,สตรีพัทลุง,93,พัทลุง,S,0,1,1.2,2.2,2.3,1.2,2.2
65250,1,2.31,0,1080210774,เบญจมราชูทิศ นครศรีธรรมราช,80,นครศรีธรรมราช,S,0,3,1.3,2,2.3,1.3,2
65260,2,2.38,0,99840040,ธิดาแม่พระ,84,สุราษฎร์ธานี,S,0,1,1.75,2.37,2.4,1.8,2.4
65269,2,2.15,1,90104,โรงเรียนผู้ใหญ่วรนารีเฉลิม,90,สงขลา,S,0,0,0.87,1.62,2.2,0.9,1.6
65272,0,2.24,1,80086,สิชลคุณาธารวิทยา,80,นครศรีธรรมราช,S,0,2,1.12,1.87,2.2,1.1,1.9
65312,1,2.78,1,84012,ดอนสักผดุงวิทย์,84,สุราษฎร์ธานี,S,0,1,1.4,1.78,2.8,1.4,1.8
65318,0,3.22,1,83100101,อบจ.เมืองภูเก็ต,83,ภูเก็ต,S,0,1,3.43,3.19,3.2,3.4,3.2
65330,3,2.21,1,80054,ปากพูน,80,นครศรีธรรมราช,S,0,1,1.42,2.47,2.2,1.4,2.5
65375,3,2.64,0,86015,สอาดเผดิมวิทยา,86,ชุมพร,S,0,2,2.08,2.12,2.6,2.1,2.1
65382,1,2.98,2,82004,ดีบุกพังงาวิทยายน,82,พังงา,S,0,2,2.68,2.87,3,2.7,2.9
65423,0,2.72,0,84046,สุราษฎร์ธานี 2,84,สุราษฎร์ธานี,S,0,2,1.97,1.86,2.7,2,1.9
65426,3,2.37,0,90019,นวมินทราชูทิศ ทักษิณ,90,สงขลา,S,0,1,1.7,2.22,2.4,1.7,2.2
65440,2,2.6,1,84038,เมืองสุราษฎร์ธานี,84,สุราษฎร์ธานี,S,0,1,1.3,1.62,2.6,1.3,1.6
65445,0,2.47,0,95007,"เบตง""วีระราษฎร์ประสาน""",95,ยะลา,S,0,1,2.42,2.37,2.5,2.4,2.4
65452,0,2.59,0,80002,กัลยาณีศรีธรรมราช,80,นครศรีธรรมราช,S,0,2,1.75,2.37,2.6,1.8,2.4
65456,3,3.3,1,80086,สิชลคุณาธารวิทยา,80,นครศรีธรรมราช,S,0,0,2.5,2.87,3.3,2.5,2.9
