BRANCH,F_NAME,GPA,ENTRY-GPA,SEMESTER,S_TYPE,R_NAME,OUTLAY,ENTRYNAME,CHOICENAME
DCA,INFO,C,B,2,โรงเรียนทั่วไป,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"12,500-25,000 บาทต่อเดือน"
MTA,INFO,C,C,3,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"น้อยกว่า 12,500 บาทต่อเดือน"
DCM,INFO,C,C,3,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"มากกว่า 25,000 บาทต่อเดือน"
MTA,INFO,C,B,3,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"น้อยกว่า 12,500 บาทต่อเดือน"
MTA,INFO,C,C,3,โรงเรียนทั่วไป,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,ไม่มีรายได้
DCA,INFO,C,C,2,โรงเรียนทั่วไป,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"12,500-25,000 บาทต่อเดือน"
DCM,INFO,B,B,3,โรงเรียนทั่วไป,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"น้อยกว่า 12,500 บาทต่อเดือน"
DCA,INFO,A,A,2,โรงเรียนทั่วไป,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"น้อยกว่า 12,500 บาทต่อเดือน"
IT,INFO,C,B,3,โรงเรียนทั่วไป,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"น้อยกว่า 12,500 บาทต่อเดือน"
IT,INFO,B,B,3,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"12,500-25,000 บาทต่อเดือน"
DCM,INFO,B,A,3,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"12,500-25,000 บาทต่อเดือน"
DCA,INFO,B,C,2,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"12,500-25,000 บาทต่อเดือน"
IT,INFO,C,C,3,,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"น้อยกว่า 12,500 บาทต่อเดือน"
MTA,INFO,B,C,2,โรงเรียนทั่วไป,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"น้อยกว่า 12,500 บาทต่อเดือน"
DCA,INFO,C,A,2,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"น้อยกว่า 12,500 บาทต่อเดือน"
DCA,INFO,B,B,2,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"12,500-25,000 บาทต่อเดือน"
IT,INFO,A,B,3,โรงเรียนทั่วไป,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,ไม่มีรายได้
MTA,INFO,A,B,1,โรงเรียนทั่วไป,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"มากกว่า 25,000 บาทต่อเดือน"
MTA,INFO,A,A,2,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"12,500-25,000 บาทต่อเดือน"
DCM,INFO,A,C,3,โรงเรียนทั่วไป,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"12,500-25,000 บาทต่อเดือน"
DCA,INFO,A,C,3,โรงเรียนทั่วไป,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"มากกว่า 25,000 บาทต่อเดือน"
IT,INFO,A,C,3,โรงเรียนทั่วไป,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"น้อยกว่า 12,500 บาทต่อเดือน"
MTA,INFO,C,C,2,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"12,500-25,000 บาทต่อเดือน"
DCM,INFO,A,A,3,โรงเรียนทั่วไป,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"น้อยกว่า 12,500 บาทต่อเดือน"
DCA,INFO,C,B,2,โรงเรียนทั่วไป,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"น้อยกว่า 12,500 บาทต่อเดือน"
DCA,INFO,B,C,2,โรงเรียนทั่วไป,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"มากกว่า 25,000 บาทต่อเดือน"
DCA,INFO,C,C,2,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"มากกว่า 25,000 บาทต่อเดือน"
IT,INFO,C,B,3,โรงเรียนทั่วไป,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"มากกว่า 25,000 บาทต่อเดือน"
DCA,INFO,B,C,2,โรงเรียนทั่วไป,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"12,500-25,000 บาทต่อเดือน"
